Time (s),Zone,Total Score
0.0,6,6
0.0,6,12
0.0,7,19
0.0,7,26
0.0,8,34
0.0,8,42
1.0999999999999999,10,682
1.0999999999999999,10,692
1.0999999999999999,10,702
1.0999999999999999,10,712
1.0999999999999999,10,722
1.0999999999999999,10,732
1.0999999999999999,10,742
2.0000000000000004,10,1252
2.0000000000000004,10,1262
2.0000000000000004,10,1272
2.0000000000000004,10,1282
2.0000000000000004,10,1292
2.0000000000000004,10,1302
3.0000000000000013,10,1872
3.0000000000000013,10,1882
3.0000000000000013,10,1892
3.0000000000000013,10,1902
3.0000000000000013,10,1912
3.0000000000000013,10,1922
4.000000000000002,10,2502
4.000000000000002,10,2512
4.000000000000002,10,2522
4.000000000000002,10,2532
4.000000000000002,10,2542
4.000000000000002,10,2552
5.099999999999998,9,3152
5.099999999999998,9,3161
5.099999999999998,9,3170
5.099999999999998,9,3179
5.099999999999998,9,3188
5.099999999999998,9,3197
5.099999999999998,9,3206
6.099999999999994,9,3738
6.099999999999994,9,3747
6.099999999999994,9,3756
6.099999999999994,9,3765
6.099999999999994,9,3774
6.099999999999994,9,3783
7.099999999999991,8,4261
7.099999999999991,8,4269
7.099999999999991,8,4277
7.099999999999991,8,4285
7.099999999999991,8,4293
7.099999999999991,8,4301
7.099999999999991,8,4309
8.099999999999987,8,4768
8.099999999999987,8,4776
8.099999999999987,8,4784
8.099999999999987,8,4792
8.099999999999987,8,4800
8.099999999999987,8,4808
9.099999999999984,9,5310
9.099999999999984,9,5319
9.099999999999984,9,5328
9.099999999999984,9,5337
9.099999999999984,9,5346
9.099999999999984,9,5355
9.099999999999984,9,5364
10.09999999999998,7,5847
10.09999999999998,7,5854
10.09999999999998,7,5861
10.09999999999998,8,5869
10.09999999999998,8,5877
10.09999999999998,8,5885
11.099999999999977,9,6388
11.099999999999977,9,6397
11.099999999999977,9,6406
11.099999999999977,9,6415
11.099999999999977,9,6424
11.099999999999977,9,6433
11.099999999999977,9,6442
12.099999999999973,9,6955
12.099999999999973,9,6964
12.099999999999973,9,6973
12.099999999999973,9,6982
12.099999999999973,9,6991
12.099999999999973,9,7000
13.09999999999997,9,7513
13.09999999999997,9,7522
13.09999999999997,9,7531
13.09999999999997,9,7540
13.09999999999997,9,7549
13.09999999999997,9,7558
13.09999999999997,9,7567
14.099999999999966,8,8035
14.099999999999966,8,8043
14.099999999999966,8,8051
14.099999999999966,8,8059
14.099999999999966,8,8067
14.099999999999966,8,8075
15.099999999999962,8,8531
15.099999999999962,8,8539
15.099999999999962,8,8547
15.099999999999962,8,8555
15.099999999999962,8,8563
15.099999999999962,8,8571
15.099999999999962,8,8579
16.09999999999996,8,9035
16.09999999999996,8,9043
16.09999999999996,8,9051
16.09999999999996,8,9059
16.09999999999996,8,9067
16.09999999999996,8,9075
17.099999999999973,8,9531
17.099999999999973,8,9539
17.099999999999973,8,9547
17.099999999999973,8,9555
17.099999999999973,8,9563
17.099999999999973,8,9571
17.099999999999973,8,9579
18.099999999999987,8,10035
18.099999999999987,8,10043
18.099999999999987,8,10051
18.099999999999987,8,10059
18.099999999999987,8,10067
18.099999999999987,8,10075
19.0,8,10483
19.0,8,10491
19.0,8,10499
19.0,8,10507
19.0,8,10515
19.0,8,10523
20.000000000000014,2,10824
20.000000000000014,2,10826
20.000000000000014,2,10828
20.000000000000014,2,10830
20.000000000000014,2,10832
20.000000000000014,1,10833
20.000000000000014,1,10834
21.00000000000003,9,11249
21.00000000000003,9,11258
21.00000000000003,9,11267
21.00000000000003,8,11275
21.00000000000003,8,11283
21.00000000000003,8,11291
22.000000000000043,1,11616
22.000000000000043,1,11617
22.000000000000043,1,11618
22.000000000000043,1,11619
22.000000000000043,1,11620
22.000000000000043,1,11621
22.000000000000043,1,11622
23.000000000000057,5,11883
23.000000000000057,5,11888
23.000000000000057,4,11892
23.000000000000057,4,11896
23.000000000000057,4,11900
23.000000000000057,5,11905
24.00000000000007,7,12241
24.00000000000007,7,12248
24.00000000000007,7,12255
24.00000000000007,7,12262
24.00000000000007,7,12269
24.00000000000007,7,12276
24.00000000000007,7,12283
25.000000000000085,2,12486
25.000000000000085,2,12488
25.000000000000085,2,12490
25.000000000000085,2,12492
25.000000000000085,2,12494
25.000000000000085,2,12496
